V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q77,Consent,Timing_1,Timing_2,Timing_3,Timing_4,rmq_1,rmq_2,rmq_3,rmq_4,rmq_5,rmq_6,rmq_7,rmq_8,Timing_1,Timing_2,Timing_3,Timing_4,rmq_9,rmq_10,rmq_11,rmq_12,rmq_13,rmq_14,rmq_15,rmq_16,Timing_1,Timing_2,Timing_3,Timing_4,rmq_17,rmq_18,rmq_19,rmq_20,rmq_21,rmq_22,rmq_23,rmq_24,Timing_1,Timing_2,Timing_3,Timing_4,rmq_25,rmq_26,rmq_27,rmq_28,rmq_29,rmq_30,Timing_1,Timing_2,Timing_3,Timing_4,rfq_1,rfq_2,rfq_3,rfq_4,rfq_5,rfq_6,rfq_7,rfq_8,rfq_9,rfq_10,rfq_11,rfq_x1,rfq_x2,rfq_x3,rfq_x4,Timing_1,Timing_2,Timing_3,Timing_4,Afraid_1,Afraid_2,Afraid_3,Afraid_4,Afraid_5,Afraid_6,Angry_1,Angry_2,Angry_3,Angry_4,Angry_5,Angry_6,Guilty_1,Guilty_2,Guilty_3,Guilty_4,Guilty_5,Guilty_6,Sad_1,Sad_2,Sad_3,Sad_4,Sad_5,Happy_1,Happy_2,Happy_3,Happy_4,Happy_5,Happy_6,Happy_7,Happy_8,Proud_1,Proud_2,Proud_3,Proud_4,Proud_5,Alert_1,Alert_2,Alert_3,Alert_4,Shy_1,Shy_2,Shy_3,Shy_4,Sleepy_1,Sleepy_2,Sleepy_3,Sleepy_4,Calm_1,Calm_2,Calm_3,Amazed_1,Amazed_2,Amazed_3,Dejected_1,Dejected_2,Dejected_3,Dejected_4,Dejected_5,Hopeful_1,Hopeful_2,Hopeful_3,Hopeful_4,Anxious_1,Anxious_2,Anxious_3,Anxious_4,Anxious_5,Anxious_6,Peaceful_1,Peaceful_2,Frustrated_1,Frustrated_2,Frustrated_3,Frustrated_4,Frustrated_5,Frustrated_6,Frustrated_7,Frustrated_8,Virtuous_1,Virtuous_2,Virtuous_3,Virtuous_4,Virtuous_5,Virtuous_6,Virtuous_7,Virtuous_8,Virtuous_9,Directions,attn1,attn2,attn3,Timing_1,Timing_2,Timing_3,Timing_4,Age ,Gender,Ethnic,Ethnic_TEXT,Education,Education_TEXT,Timing_1,Timing_2,Timing_3,Timing_4,Relation,Timing_1,Timing_2,Timing_3,Timing_4,Job,Timing_1,Timing_2,Timing_3,Timing_4,Language,Timing_1,Timing_2,Timing_3,Timing_4,Proficient,Timing_1,Timing_2,Timing_3,Timing_4,I.D,DO-BR-FL_10,DO-BL-emo,DO-Q-Afraid,DO-Q-Guilty,DO-Q-Angry,DO-Q-Sad,DO-Q-Happy,DO-Q-Proud,DO-Q-Alert,DO-Q-Shy,DO-Q-Sleepy,DO-Q-Calm,DO-Q-Amazed,DO-Q-Dejected,DO-Q-Hopeful,DO-Q-Anxious,DO-Q-Peaceful,DO-Q-Frustrated,DO-Q-Virtuous,LocationLatitude,LocationLongitude,LocationAccuracy
R_1kZYdOJq6BWFGHP,Default Response Set,Anonymous,,,141.161.247.23,0,11/2/15 15:08,11/2/15 15:12,1,1,2,2.013,2.815,3.4,2,4,3,5,4,4,3,5,6,1.154,19.66,21.726,10,4,3,4,2,3,5,3,4,1.834,15.754,16.664,11,4,4,3,5,4,2,4,2,1.635,16.959,17.407,13,4,2,3,5,5,4,1.102,10.511,11.363,8,4,3,4,2,3,3,4,3,3,4,2,,,,,2.778,21.087,21.842,14,2,2,2,2,2,1,2,2,2,3,2,3,3,3,3,4,2,3,3,3,3,2,3,5,5,6,5,6,5,6,6,5,5,5,6,4,5,5,5,5,4,3,3,3,4,4,3,4,5,5,5,4,3,4,2,2,2,2,3,5,5,5,5,4,3,4,3,2,3,5,5,4,3,4,2,3,4,3,2,4,5,5,5,4,6,6,5,6,1,3,4,8,0.654,8.609,11.383,5,28,1,4,,6,,0.701,6.413,7.768,5,2,1.168,1.168,1.885,1,Legal Writer ,0.632,0.632,4.377,1,English ,1.168,4.208,5.838,2,1,1.373,1.373,2.332,1,APGBQQ5XS3Q4P,rfq|rmq,Peaceful|Sleepy|Calm|Guilty|Virtuous|Frustrated|Alert|Proud|Sad|Happy|Dejected|Afraid|Hopeful|Shy|Angry|Anxious|Amazed,2|5|3|1|6|4,6|5|3|4|2|1,5|2|1|3|6|4,5|2|3|4|1,1|5|8|2|7|4|3|6,3|1|4|2|5,1|2|4|3,2|3|4|1,4|1|2|3,2|3|1,3|1|2,2|3|4|1|5,4|1|3|2,5|4|6|1|2|3,1|2,6|8|5|3|7|1|4|2,5|8|7|3|4|6|2|1|9,38.89329529,-77.01460266,-1
R_d7r1W448uhdAal3,Default Response Set,Anonymous,,,68.38.31.18,0,11/2/15 15:08,11/2/15 15:13,1,1,2,2.765,2.765,3.88,1,5,5,2,5,5,5,6,5,1.964,12.584,13.12,9,2,5,5,1,4,6,5,5,1.526,13.748,15.194,8,4,2,5,6,5,6,5,5,1.999,14.912,16.938,12,5,2,2,5,5,3,1.789,14.375,16.342,9,2,2,4,4,5,2,4,2,2,5,1,,,,,3.613,30.525,30.769,18,3,3,2,4,3,3,3,2,3,3,3,2,2,2,4,2,2,4,4,4,4,5,4,4,3,6,3,5,6,4,2,6,5,4,6,4,3,4,4,5,6,5,5,4,5,5,5,5,4,4,4,4,4,3,3,4,3,3,3,5,4,5,4,5,5,6,5,3,4,4,4,4,3,5,2,4,2,5,2,2,2,6,2,4,5,5,7,5,1,emotion,emotion,emotion,0.833,1.355,12.225,2,20,2,4,,3,,0.709,6.012,7.134,5,2,1.086,1.518,2.141,2,mturk,0.63,0.63,5.405,1,English,0.664,0.664,4.127,1,1,1.292,1.292,2.122,1,AM2DZGGTKZJA7,rfq|rmq,Frustrated|Virtuous|Happy|Shy|Angry|Amazed|Sleepy|Sad|Alert|Peaceful|Calm|Guilty|Hopeful|Afraid|Dejected|Anxious|Proud,2|5|1|4|3|6,3|2|1|5|4|6,3|4|1|5|2|6,2|4|5|1|3,2|7|4|1|5|8|6|3,4|1|3|5|2,2|1|3|4,3|1|2|4,4|2|3|1,2|1|3,3|1|2,1|2|5|4|3,4|1|3|2,6|3|2|5|1|4,2|1,3|1|5|4|7|6|8|2,1|7|9|2|5|3|6|4|8,39.83810425,-84.90540314,-1
R_25uyllpDj3o5kZe,Default Response Set,Anonymous,,,64.247.117.117,0,11/2/15 15:11,11/2/15 15:14,1,1,2,1.845,2.637,3.517,3,3,2,5,3,2,4,3,2,0.783,9.125,15.135,8,3,4,2,2,5,4,2,5,2.135,5.529,6.622,8,2,4,4,2,5,3,4,5,0.531,4.387,4.827,11,2,4,3,2,5,3,1.309,3.175,4.124,6,3,4,3,3,2,4,3,2,4,3,3,,,,,0.628,5.793,6.814,11,5,5,4,3,4,4,2,4,3,3,5,4,4,2,6,4,1,5,3,3,2,5,3,5,4,3,4,3,5,5,5,6,5,2,4,4,4,3,2,5,4,3,4,1,4,5,4,5,3,3,4,4,5,6,2,5,6,4,6,3,5,4,2,2,3,4,3,3,3,5,2,4,4,4,2,6,4,3,4,3,3,2,3,4,5,5,4,5,1,emotion,emotion,emotion,9.049,15.228,21.061,2,29,1,4,,4,,0.772,9.838,10.095,5,1,0.803,0.803,1.433,1,valet,0.619,2.944,3.306,2,english,0.521,0.521,3.421,1,1,1.405,1.405,3.557,1,A27TJ5U1Z6PCHL,rmq|rfq,Amazed|Frustrated|Virtuous|Afraid|Hopeful|Guilty|Dejected|Shy|Peaceful|Proud|Angry|Happy|Alert|Sad|Sleepy|Calm|Anxious,4|5|1|6|3|2,1|2|5|6|4|3,4|1|5|3|2|6,1|3|4|5|2,2|3|6|7|5|4|1|8,3|4|1|2|5,3|2|1|4,4|2|1|3,1|2|3|4,3|2|1,1|2|3,1|4|2|5|3,1|4|3|2,3|4|2|6|1|5,2|1,4|6|1|5|3|2|7|8,3|8|9|5|2|1|4|7|6,39.30310059,-82.08280182,-1
R_2ZEOidokR2TgkIO,Default Response Set,Anonymous,,,172.89.67.229,0,11/2/15 15:09,11/2/15 15:15,1,1,2,2.614,2.614,3.436,1,3,5,4,3,3,4,4,3,16.308,19.605,20.704,8,3,4,2,3,4,4,5,5,1.442,5.097,9.822,9,3,4,3,2,3,4,4,4,3.845,7.066,19.363,8,3,4,2,3,3,4,1.247,4.234,7.937,6,3,4,2,3,4,3,2,2,3,4,3,,,,,7.006,11.566,12.689,11,5,3,4,4,3,4,6,3,5,3,4,4,5,3,4,4,4,5,3,5,4,4,4,3,5,4,5,3,4,4,3,4,3,4,5,3,4,3,4,5,4,4,3,4,5,3,5,4,4,4,3,3,4,4,3,4,4,4,5,4,6,3,5,5,3,2,4,3,5,3,5,5,4,5,5,4,3,3,4,4,5,3,5,4,3,4,4,4,1,emotion,emotion,emotion,18.237,44.355,59.846,16,23,1,6,,4,,0.8,10.097,11.503,5,1,1.24,1.24,2.152,1,Student,0.88,0.88,5.859,1,English,0.703,3.599,7.064,2,2,2.281,2.281,4.227,1,A11A3NFGYIZ0VB,rmq|rfq,Guilty|Shy|Hopeful|Amazed|Sleepy|Frustrated|Proud|Anxious|Peaceful|Sad|Dejected|Afraid|Virtuous|Calm|Alert|Happy|Angry,5|1|3|2|4|6,5|2|6|4|1|3,4|3|5|2|6|1,1|4|2|5|3,3|2|1|5|4|6|7|8,5|1|4|3|2,3|4|2|1,3|4|2|1,2|1|3|4,1|3|2,1|3|2,4|5|1|2|3,3|4|2|1,2|1|4|3|5|6,1|2,3|7|8|1|5|6|2|4,4|8|3|7|6|5|9|2|1,34.22979736,-118.5995026,-1
R_1DqFqSv9swKYznN,Default Response Set,Anonymous,,,68.246.10.255,0,11/2/15 15:08,11/2/15 15:16,1,1,2,7.896,7.896,9.16,1,6,3,5,6,6,6,6,6,6.174,26.374,27.577,8,5,3,5,2,6,6,6,3,4.574,26.157,27.432,8,2,2,1,1,5,3,1,1,2.588,20.659,22.549,8,4,2,2,5,6,5,6.588,24.308,25.477,6,1,1,5,4,4,4,5,3,4,5,1,,,,,5.652,42.115,43.094,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,6,7,7,7,6,7,7,6,5,6,7,7,5,6,7,7,7,1,1,1,1,3,1,1,1,6,6,7,6,5,6,1,1,1,2,2,6,6,7,6,1,1,2,2,1,2,7,6,2,1,2,1,2,1,1,1,7,6,7,7,6,7,6,7,6,1,emotion,emotion,emotion,10.517,29.694,40.918,3,45,1,4,,4,,1.443,8.227,10.324,4,5,2.276,2.276,3.307,1,Maintenance Manager,1.396,1.396,11.212,1,English,1.644,1.644,7.066,1,1,5.413,5.413,6.355,1,AX0MXNMU9RVHN,rmq|rfq,Virtuous|Sad|Frustrated|Hopeful|Dejected|Alert|Calm|Shy|Amazed|Proud|Sleepy|Afraid|Peaceful|Happy|Anxious|Guilty|Angry,5|6|4|3|1|2,1|3|2|5|6|4,1|4|2|3|5|6,1|3|2|5|4,4|6|3|8|5|1|7|2,2|3|4|5|1,1|2|3|4,3|2|4|1,4|2|3|1,3|2|1,1|3|2,3|1|4|5|2,3|1|2|4,1|5|2|3|6|4,2|1,5|1|3|7|6|2|4|8,9|2|6|3|1|7|5|8|4,38,-97,-1
R_1rJGV2aHhDgxq4r,Default Response Set,Anonymous,,,74.87.33.130,0,11/2/15 15:08,11/2/15 15:16,1,1,2,2.502,3.942,7.818,3,4,5,4,4,5,4,3,6,3.278,13.077,16.161,9,5,4,6,5,5,4,5,4,112.565,119.34,120.287,10,3,4,5,5,4,6,5,5,2.495,10.088,11.841,11,5,4,5,5,6,5,2.964,7.82,9.622,8,1,4,3,3,2,4,3,2,3,5,2,,,,,5.16,26.192,27.796,20,1,1,1,1,2,3,1,1,1,2,1,1,1,2,1,1,1,3,1,1,2,2,2,7,6,6,4,6,5,5,6,4,6,4,5,3,6,5,5,6,2,1,1,1,3,2,2,4,5,6,6,3,3,5,1,1,1,1,2,5,5,6,4,3,4,2,2,2,1,5,4,1,2,3,1,1,2,2,1,6,4,6,6,5,5,6,6,5,1,emotion,emotion,emotion,3.471,6.568,13.448,3,23,2,4,,4,,1.011,4.41,5.346,4,2,1.464,2.304,3.087,3,Sales,0.729,1.033,3.663,2,English,0.58,0.58,5.13,1,1,2.444,2.444,3.171,1,A3VBSPUPG256EK,rmq|rfq,Proud|Hopeful|Anxious|Alert|Amazed|Sad|Shy|Calm|Guilty|Afraid|Sleepy|Peaceful|Dejected|Virtuous|Frustrated|Angry|Happy,5|6|3|4|1|2,1|3|5|4|6|2,6|5|3|4|2|1,4|1|2|3|5,6|2|5|4|1|3|7|8,4|2|5|1|3,3|1|4|2,4|1|2|3,2|1|4|3,1|2|3,1|2|3,4|5|2|3|1,3|1|4|2,3|5|2|1|4|6,2|1,7|4|6|8|1|3|5|2,6|8|2|5|1|3|9|4|7,34.02909851,-118.3992996,-1
R_1lmb73bDMVbzxeN,Default Response Set,Anonymous,,,66.191.92.36,0,11/2/15 15:09,11/2/15 15:16,1,1,2,1.679,3.714,4.43,4,4,3,3,4,5,4,3,4,2.672,15.298,16.054,8,4,5,4,4,5,4,3,4,2.978,21.665,22.259,13,4,3,2,3,4,4,3,4,2.024,12.47,13.497,10,4,2,4,4,4,3,3.308,13.134,14.313,7,3,2,4,2,2,2,3,2,3,4,2,,,,,3.232,121.254,121.961,13,2,2,2,3,3,3,2,2,4,2,3,3,3,3,3,4,2,3,3,3,3,3,3,5,4,4,5,5,4,4,4,5,4,5,4,4,4,5,4,4,4,4,3,4,5,4,4,3,5,5,5,4,3,3,3,4,3,3,3,3,2,2,2,4,5,3,3,2,4,4,4,4,3,4,3,3,4,3,2,5,5,4,4,4,4,5,4,5,1,emotion,emotion,emotion,5.799,5.799,16.563,1,26,1,4,,4,,1.067,7.25,8.204,5,1,4.616,4.616,7.575,1,Sales,0.788,0.788,4.42,1,English,0.771,0.771,4.423,1,1,2.375,2.375,3.442,1,A2RDNYV4SH5E89,rfq|rmq,Shy|Happy|Peaceful|Sleepy|Sad|Guilty|Dejected|Calm|Frustrated|Hopeful|Virtuous|Proud|Angry|Anxious|Afraid|Alert|Amazed,4|1|3|2|5|6,4|6|5|3|1|2,6|3|1|5|2|4,2|1|4|3|5,3|1|8|4|6|7|2|5,2|3|4|5|1,4|1|2|3,3|4|2|1,3|1|2|4,2|3|1,1|2|3,3|4|1|2|5,3|1|2|4,1|2|6|5|3|4,2|1,2|4|8|3|1|6|5|7,7|9|5|1|4|3|8|2|6,42.45570374,-88.30380249,-1
R_1eJYZbZpSSvqj5U,Default Response Set,Anonymous,,,157.182.122.169,0,11/2/15 15:08,11/2/15 15:17,1,1,2,5.01,5.01,5.519,1,4,2,2,2,2,2,5,5,2.052,41.765,42.574,10,2,4,5,2,5,4,3,4,64.465,111.928,112.981,14,4,2,5,4,4,3,2,3,3.268,12.181,12.939,8,4,2,4,5,4,4,2.406,12.812,13.392,8,2,3,3,3,4,2,2,3,2,2,2,,,,,3.832,28.067,29.571,15,2,2,2,2,2,2,2,2,4,2,1,2,1,2,2,2,1,2,3,3,3,4,3,4,4,3,4,4,4,4,5,5,4,5,4,4,5,5,4,4,3,3,3,4,4,5,3,4,5,4,4,2,3,2,1,1,2,1,2,4,4,5,4,4,4,3,4,3,4,4,4,4,2,2,1,1,5,1,1,5,4,6,5,5,5,5,2,5,1,emotion,emotion,emotion,6.624,6.624,14.203,1,24,2,4,,4,,0.615,4.102,4.774,4,2,4.257,4.257,4.866,1,Office Manager,0.655,0.655,3.15,1,English,0.559,0.559,3.811,1,1,0.912,0.912,1.535,1,A1ZZ7YO3YASNIP,rmq|rfq,Anxious|Sad|Peaceful|Virtuous|Guilty|Proud|Calm|Alert|Shy|Hopeful|Angry|Amazed|Afraid|Happy|Dejected|Sleepy|Frustrated,3|4|1|2|5|6,6|1|5|2|4|3,2|1|4|6|3|5,4|2|1|3|5,6|3|8|1|2|7|5|4,4|1|2|3|5,2|3|4|1,4|3|2|1,3|1|2|4,1|3|2,1|3|2,2|4|3|5|1,4|2|1|3,3|5|2|6|1|4,2|1,6|2|1|3|4|7|5|8,2|7|5|6|1|9|8|3|4,39.64559937,-79.94329834,-1
R_plSgFLUPMqLJyNz,Default Response Set,Anonymous,,,74.95.73.146,0,11/2/15 15:10,11/2/15 15:18,1,1,2,7.8,7.8,8.966,1,4,3,1,5,5,2,3,3,7.939,24.844,26.477,8,5,4,4,1,4,4,3,4,2.692,24.511,25.153,8,3,3,4,4,2,2,3,4,2.68,19.889,20.719,9,2,1,3,2,2,4,3.483,17.109,17.872,6,2,2,4,1,5,2,3,2,2,4,3,,,,,7.408,36.273,37.036,12,1,1,1,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,3,5,4,5,4,5,4,4,5,4,4,6,2,2,5,5,4,4,7,4,5,5,4,4,3,3,6,6,6,1,1,1,1,1,1,1,1,3,1,4,4,3,3,2,2,1,2,4,4,4,1,4,1,4,4,2,1,4,3,4,3,3,6,6,2,6,1,emotion,emotion,emotion,5.319,5.319,13.525,1,36,2,4,,4,,1.084,6.101,7.338,4,2,1.307,1.307,2.243,1,paralegal,0.807,0.807,3.6,1,english,0.878,0.878,3.367,1,1,1.829,1.829,3.408,1,A3IADAHNMIS0AM,rfq|rmq,Afraid|Amazed|Virtuous|Calm|Anxious|Peaceful|Alert|Frustrated|Hopeful|Sad|Guilty|Happy|Sleepy|Shy|Angry|Proud|Dejected,1|4|3|6|5|2,3|1|2|4|6|5,6|4|2|1|3|5,3|1|2|4|5,6|8|2|4|5|3|1|7,3|5|1|4|2,3|4|2|1,1|4|3|2,1|3|4|2,1|2|3,2|3|1,1|2|4|3|5,2|4|3|1,3|1|6|4|2|5,2|1,3|1|5|6|7|4|8|2,6|1|8|3|4|2|7|9|5,32.82290649,-79.85489655,-1
R_2ab5kO0lJEgEcj7,Default Response Set,Anonymous,,,99.44.161.30,0,11/2/15 15:08,11/2/15 15:18,1,1,2,30.651,31.498,33.366,2,4,2,2,5,4,2,3,5,8.117,40.571,41.608,8,3,4,4,2,4,5,3,3,6.574,44.302,45.289,8,3,3,3,4,3,3,4,3,9.025,39.528,41.009,8,4,3,3,4,4,3,11.723,38.739,40.108,6,3,2,3,3,4,2,3,2,2,3,2,,,,,6.892,77.468,78.731,12,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,2,2,6,6,6,6,2,1,2,2,3,3,2,2,6,6,6,5,5,5,2,1,2,1,2,5,5,5,5,3,3,2,2,2,2,6,4,3,2,2,2,2,2,2,2,5,3,5,5,5,5,5,5,5,1,emotion,emotion,emotion,11.599,29.284,35.473,4,27,1,4,,4,,19.376,29.201,30.87,4,1,5.372,5.372,7.173,1,sorter,1.408,1.408,7.56,1,english,1.123,1.123,6.137,1,1,3.201,3.201,4.895,1,A3M8097985U3FN,rmq|rfq,Peaceful|Sad|Dejected|Calm|Virtuous|Shy|Alert|Amazed|Anxious|Angry|Hopeful|Guilty|Afraid|Happy|Sleepy|Proud|Frustrated,2|4|5|3|6|1,3|5|1|6|4|2,1|3|4|6|2|5,5|3|1|2|4,4|2|3|6|7|8|5|1,5|4|3|1|2,1|4|3|2,2|3|4|1,4|3|2|1,1|2|3,3|1|2,4|5|3|2|1,4|1|3|2,1|3|4|6|5|2,1|2,1|3|2|5|8|4|6|7,3|6|2|8|5|7|4|1|9,38.70120239,-90.36699677,-1
